Serial, mut_t1, mut_t2, mut_t4, mut_t8, rw_t1, rw_t2, rw_t4, rw_t8
26120, 25976, 40049, 40425, 42062, 26617, 21159, 22121, 26621
26819, 26297, 40700, 39163, 40785, 26651, 21966, 22251, 25472
26845, 26554, 41897, 40932, 42882, 27664, 21498, 23571, 26408
26825, 26526, 40946, 41127, 42794, 27065, 22043, 22367, 26697
27205, 27013, 40759, 41217, 42546, 26962, 22917, 23277, 25509
26869, 26615, 40243, 40883, 42702, 27598, 21638, 23694, 26887
26573, 26730, 41152, 42589, 43097, 27293, 21903, 22006, 25133
26939, 26836, 41216, 42472, 42260, 26930, 21854, 23499, 26852
26686, 26657, 41013, 41864, 43262, 27133, 21473, 22441, 25832
26105, 26858, 41854, 42322, 42825, 27268, 21311, 22263, 26728
26136, 27214, 41725, 40189, 42672, 27271, 22123, 22624, 26825
25886, 26799, 40907, 40215, 43511, 27347, 21779, 21939, 25681
25830, 27564, 41107, 43774, 43163, 27653, 21178, 22654, 27817
26747, 27594, 41089, 41705, 42193, 27756, 21959, 23337, 26245
26327, 28054, 41950, 41130, 42890, 27849, 22395, 22706, 26254
26397, 27125, 41018, 42504, 42106, 26267, 21775, 21553, 27880
27876, 26201, 40617, 40780, 41760, 26434, 21759, 22622, 25663
27177, 25914, 40539, 39664, 43585, 27495, 20885, 22147, 25478
27153, 25914, 40834, 40387, 41736, 26326, 21221, 21519, 25901
26937, 27744, 42009, 40542, 43287, 27705, 22783, 23120, 27751
26565, 27242, 41687, 41462, 43595, 27796, 22198, 23227, 25069
26618, 27178, 41758, 41715, 43261, 27876, 22869, 22199, 28323
27144, 27704, 41072, 42062, 43041, 27440, 22215, 24012, 27122
26482, 26996, 40591, 40053, 43243, 27701, 21843, 22101, 26943
26475, 26872, 41800, 43769, 42662, 27249, 22272, 22560, 25604
26786, 27302, 42003, 41457, 42594, 27640, 22187, 23619, 25922
26553, 27026, 41547, 41685, 43122, 27742, 21978, 22394, 26588
26319, 27201, 41669, 42171, 42819, 28148, 21723, 22599, 26680
27172, 27300, 40129, 40799, 42561, 27493, 22035, 22827, 26806
26064, 26588, 41319, 42003, 42336, 27365, 22459, 22544, 25603
26064, 26614, 40881, 41751, 42887, 27170, 22198, 23095, 26611
26598, 27272, 40723, 41287, 41810, 27040, 22154, 23073, 27087
26185, 26695, 40803, 41617, 43032, 28206, 21280, 23062, 25549
27772, 27095, 41817, 41231, 44367, 27592, 21622, 21889, 25787
28837, 27520, 41552, 41784, 42253, 27759, 22753, 23657, 24916
27846, 27196, 40508, 41812, 42845, 27955, 21519, 23134, 26728
26263, 27908, 42390, 43314, 43193, 28355, 22947, 22992, 26377
26464, 28191, 42311, 42184, 42889, 28339, 22829, 24199, 27453
26096, 27801, 42650, 42679, 43789, 28343, 22216, 22003, 25919
25498, 26557, 41650, 41504, 42016, 26702, 21463, 22023, 25864
25669, 26356, 40624, 41270, 41801, 27162, 21414, 22901, 26067
25511, 26702, 41109, 41005, 42513, 26947, 21685, 22561, 26738
25757, 26552, 41933, 39825, 43016, 27151, 22469, 23397, 26801
26242, 26877, 41677, 42280, 42532, 27351, 22078, 23436, 26401
26434, 26984, 41523, 40969, 43192, 27551, 22344, 22860, 26066
26602, 26876, 42143, 43090, 43041, 27594, 22213, 22307, 27091
26825, 27304, 41495, 40835, 42722, 27213, 21605, 22209, 26596
27241, 27147, 40793, 41913, 42384, 27147, 21952, 23645, 24766
26743, 26797, 40775, 40194, 41959, 27466, 21317, 22563, 26308
26788, 26636, 40599, 41704, 43510, 28142, 22170, 22480, 26094
28946, 28107, 41384, 41250, 42337, 28262, 22534, 22882, 26567
28195, 27635, 41987, 40985, 43630, 28340, 21876, 23597, 27317
28096, 28254, 44585, 42254, 43037, 27669, 22062, 23347, 26676
27624, 27591, 41585, 40284, 42792, 28329, 21872, 23553, 26357
27460, 27673, 41888, 41805, 42671, 28464, 22171, 22753, 27564
27723, 27973, 42364, 40591, 42709, 28072, 22260, 23500, 26593
26109, 26546, 40375, 40820, 46766, 28685, 21489, 21541, 24387
26129, 26432, 40608, 41328, 41681, 26839, 22121, 21770, 27417
26648, 26634, 40007, 40406, 42099, 26870, 21532, 23034, 25075
26173, 26440, 40598, 40086, 44623, 28892, 22669, 22874, 28206
26321, 27828, 42902, 43087, 45019, 28287, 22229, 23053, 26574
26713, 28205, 43600, 43212, 43874, 29806, 22795, 22924, 26502
26223, 27822, 42288, 43047, 44183, 28630, 22562, 22716, 27231
26806, 27664, 43825, 42985, 43496, 27856, 21841, 24415, 25837
27365, 27340, 42111, 41383, 43644, 28340, 22208, 22632, 27048
27155, 27526, 42079, 40986, 42941, 28076, 21723, 22938, 26197
27327, 27525, 42282, 41318, 43559, 32778, 21976, 22906, 26537
26842, 28109, 41811, 41670, 43581, 28074, 22057, 22523, 26761
26929, 27398, 42381, 42801, 43675, 27759, 22111, 23100, 26180
27170, 27618, 42154, 40336, 42604, 27243, 22724, 22870, 25870
26854, 27043, 41255, 41819, 43360, 27675, 21574, 22959, 26250
26855, 26998, 42289, 43219, 43281, 27349, 22074, 22324, 26470
27748, 27510, 42497, 41932, 42225, 27730, 22680, 24713, 25622
27337, 28586, 44382, 51183, 48672, 27143, 22132, 22849, 26334
26760, 27110, 41960, 41846, 42707, 27214, 21844, 22467, 27369
27166, 26452, 41249, 40722, 42492, 27590, 22333, 22881, 26753
26655, 27081, 42756, 43317, 43819, 27983, 22555, 22385, 27542
27513, 28083, 42605, 41836, 42816, 27974, 22926, 23817, 26640
26990, 27207, 41999, 42395, 44210, 28147, 21824, 22228, 26374
29165, 27869, 42258, 42347, 43236, 27700, 22391, 23656, 27450
27684, 27362, 41653, 40894, 43908, 27882, 21807, 23534, 26924
27511, 27166, 41978, 42335, 43230, 27525, 22161, 22637, 27279
28162, 27756, 41787, 40626, 42654, 27657, 21997, 23281, 25299
27041, 27182, 40584, 40054, 43673, 27738, 21443, 22692, 26145
26954, 27073, 41153, 41603, 43806, 27584, 22055, 22475, 27825
27409, 27690, 42066, 40288, 41815, 27518, 21449, 23184, 26026
26361, 27023, 41986, 41223, 43241, 28036, 21735, 22254, 26748
26371, 27223, 41361, 42485, 42813, 27821, 22087, 22026, 26048
26648, 27468, 41850, 41123, 43442, 31891, 22917, 23047, 26067
26373, 27251, 41099, 40894, 44542, 27858, 21856, 22441, 25654
26812, 26995, 41423, 42205, 43537, 27606, 22363, 22875, 27357
27188, 27326, 41927, 41825, 43023, 27685, 21995, 24662, 26408
26916, 26990, 40745, 40907, 43302, 28223, 21425, 21898, 25831
26826, 26742, 41568, 42590, 42998, 27100, 21340, 22409, 25058
27442, 27036, 40828, 39522, 42561, 27377, 21771, 23161, 25617
26833, 27281, 41454, 40531, 43046, 27404, 22044, 22026, 27118
27451, 28021, 42277, 43322, 43151, 28518, 21929, 22772, 26182
27775, 28417, 41167, 43357, 43433, 30105, 23336, 23086, 27300
